Terminate batch job (Y/N)? Terminate batch job (Y/N)? Terminate batch job (Y/N)? Terminate batch job (Y/N)? Terminate batch job (Y/N)? Terminate batch job (Y/N)? Terminate batch job (Y/N)? Terminate batch job (Y/N)? INFO:     127.0.0.1:54174 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59143 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59207 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59278 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59340 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59394 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59448 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59516 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59570 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59627 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59682 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59778 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59837 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59895 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59964 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:60021 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:62162 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:50214 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:50319 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:50350 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:50452 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:64361 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:64420 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59432 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59500 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52741 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52796 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52864 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52918 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52982 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53045 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53108 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53166 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53220 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53292 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53346 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53402 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53466 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53524 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53582 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53647 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53707 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53762 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53834 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53890 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53952 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:54024 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:54083 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:54141 - "GET /health HTTP/1.1" 200 OK
